name;type;cost;cost_type;atk;def;stb;rng;move
Десантно-штурмовик;unit;1;BF;2;1;3;1;1
Кулеметник;unit;1;BF;3;1;3;2;1
Гранатометник;unit;1;BF;3;0;2;2;1
Стрілець-десантник;unit;1;BF;1;1;2;1;1
Розвідник;unit;1;BF;2;1;2;2;2
Снайпер мобільної групи;unit;1;BF;3;0;2;4;1
Група протидії БпЛА;unit;1;LOG;2;1;3;3;1
Мобільна група на пікапі;unit;1;LOG;2;1;3;2;2
Екіпаж БМП;unit;2;LOG;3;2;4;2;1
Екіпаж БТР-3;unit;2;LOG;3;2;4;2;1
Медик десантний;unit;1;BF;0;1;2;1;1
Мінометник 120 мм;unit;1;LOG;3;0;2;4;0
Рейдовий прорив;tactic;1;CI;;;;;
Глибокий обхід;tactic;1;CI;;;;;
Мобільний маневр;tactic;1;CI;;;;;
Десантна швидкість;tactic;1;CI;;;;;
Мінометна підтримка;tactic;1;CI;;;;;
Перехресний вогонь;tactic;1;CI;;;;;
Штурмовий тиск;tactic;1;CI;;;;;
FPV-атака;tactic;1;CI;;;;;
Робота мобільних груп;tactic;1;CI;;;;;
Полювання на бронетехніку;tactic;1;CI;;;;;
Маневр оборони;tactic;1;CI;;;;;
Контратака малими силами;tactic;1;CI;;;;;
Сила, Відвага, Честь!;thematic;1;CI;;;;;
Рейдовий дух;thematic;1;CI;;;;;
Поліська міць;thematic;1;CI;;;;;
Непохитність десанту;thematic;1;CI;;;;;
Десантна відвага;thematic;1;CI;;;;;
Мобільний удар;thematic;1;CI;;;;;
Блискавичний прорив;thematic;1;CI;;;;;
Сила єдності;thematic;1;CI;;;;;
Нічний натиск;thematic;1;CI;;;;;
Стрибок крізь хаос;thematic;1;CI;;;;;
Сталева воля;thematic;1;CI;;;;;
Крилатий удар;thematic;1;CI;;;;;
Парашут С-5;equipment;1;LOG;;;;;
Десантний комплект;equipment;1;LOG;;;;;
Розвантажувальна система «Дрейк»;equipment;1;LOG;;;;;
ПНБ;equipment;1;LOG;;;;;
Маруновий берет;equipment;1;CI;;;;;
ПКМ;equipment;1;LOG;;;;;
FN Minimi;equipment;1;LOG;;;;;
NLAW;equipment;2;LOG;;;;;
FPV-дрон;equipment;1;LOG;;;;;
Трофейна техніка;equipment;0;LOG;;;;;
Десантна аптечка;equipment;1;LOG;;;;;
Підвісна система швидкого скидання;equipment;1;LOG;;;;;
Перехід у наступ;event;0;CI;;;;;
Атака з повітря;event;1;CI;;;;;
Артилерійська підтримка;event;1;CI;;;;;
Негода;event;0;CI;;;;;
Масований штурм;event;1;CI;;;;;
Підкріплення;event;0;BF;;;;;
Зміна сектора;event;0;CI;;;;;
Узгодження вогню;event;1;CI;;;;;
Перекидання резервів;event;1;LOG;;;;;
Зміна осі атаки;event;0;CI;;;;;
Розрив комунікацій;event;0;CI;;;;;
Перевага в повітрі;event;1;CI;;;;;
